,Antivirus,Detected,Version,Update,Result
0,AVG,False,23.9.8494.0,20240330,
1,Acronis,False,1.2.0.121,20240328,
2,AhnLab-V3,False,3.25.1.10473,20240330,
3,Alibaba,False,0.3.0.5,20190527,
4,Antiy-AVL,False,3.0,20240330,
5,Arcabit,False,2022.0.0.18,20240330,
6,Avast,False,23.9.8494.0,20240330,
7,Avast-Mobile,False,240329-02,20240329,
8,Avira,False,8.3.3.18,20240330,
9,Baidu,False,1.0.0.2,20190318,
10,BitDefender,False,7.2,20240330,
11,BitDefenderTheta,False,7.2.37796.0,20240305,
12,Bkav,False,2.0.0.1,20240330,
13,CAT-QuickHeal,False,22.00,20240329,
14,CMC,False,2.4.2022.1,20240328,
15,ClamAV,False,1.3.0.0,20240330,
16,Cynet,False,4.0.1.1,20240330,
17,DrWeb,False,7.0.62.1180,20240330,
18,ESET-NOD32,False,28980,20240330,
19,Emsisoft,False,2022.6.0.32461,20240330,
20,F-Secure,False,18.10.1547.307,20240330,
21,FireEye,False,35.47.0.0,20240330,
22,Fortinet,False,None,20240330,
23,GData,False,A:25.37669B:27.35458,20240330,
24,Google,False,1711798256,20240330,
25,Gridinsoft,False,1.0.170.174,20240330,
26,Ikarus,False,6.3.12.0,20240330,
27,Jiangmin,False,16.0.100,20240329,
28,K7AntiVirus,False,12.150.51541,20240330,
29,K7GW,False,12.150.51541,20240330,
30,Kaspersky,False,22.0.1.28,20240330,
31,Kingsoft,False,None,20230906,
32,Lionic,False,7.5,20240330,
33,MAX,False,2023.1.4.1,20240330,
34,Malwarebytes,False,4.5.5.54,20240330,
35,MaxSecure,False,1.0.0.1,20240329,
36,McAfee,False,6.0.6.653,20240329,
37,MicroWorld-eScan,False,14.0.409.0,20240330,
38,Microsoft,False,1.1.24020.9,20240330,
39,NANO-Antivirus,False,1.0.146.25796,20240330,
40,Panda,False,4.6.4.2,20240330,
41,Rising,False,25.0.0.27,20240330,
42,SUPERAntiSpyware,False,5.6.0.1032,20240330,
43,Sangfor,False,2.23.0.0,20240318,
44,SentinelOne,False,24.1.0.5,20240129,
45,Skyhigh,False,v2021.2.0+4045,20240329,
46,Sophos,False,2.4.3.0,20240330,
47,Symantec,False,1.21.0.0,20240329,
48,TACHYON,False,2024-03-30.02,20240330,
49,Tencent,False,1.0.0.1,20240330,
50,TrendMicro,False,11.0.0.1006,20240330,
51,TrendMicro-HouseCall,False,10.0.0.1040,20240330,
52,Trustlook,False,1.0,20240330,
53,VBA32,False,5.0.0,20240329,
54,VIPRE,False,6.0.0.35,20240329,
55,Varist,False,6.5.1.2,20240330,
56,ViRobot,False,2014.3.20.0,20240330,
57,VirIT,False,9.5.673,20240329,
58,Xcitium,False,36566,20240330,
59,Yandex,False,5.5.2.24,20240330,
60,Zillya,False,2.0.0.5081,20240328,
61,ZoneAlarm,False,1.0,20240330,
62,Zoner,False,2.2.2.0,20240330,
